Bureau of Justice Statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
filename: exest.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"title:  Prisoners executed under civil authority in the United States, by year, region, and jurisdiction, 1977-2008",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"data source: BJS, National Prisoner Statistics data series (NPS-8)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
author:  Tracy L. Snell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
refer questions to: askbjs@usdoj.gov  (202)307-0765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
date of version:  12/10/08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

"Prisoners executed under civil authority in the United States, by year, region, and jurisdiction, 1977-2008",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

Region and jurisdiction,Total,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
U.S. total,1136,1,0,2,0,1,2,5,21,18,18,25,11,16,23,14,31,38,31,56,45,74,68,98,85,66,71,65,59,60,53,42,37
    Federal,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0
    State,1133,1,0,2,0,1,2,5,21,18,18,25,11,16,23,14,31,38,31,56,45,74,68,98,85,64,71,64,59,60,53,42,37

  Northeast,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,1,0,0,0
    Connecticut,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
    Maine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Massachusetts,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    New Hampshire,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    New Jersey,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    New York,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Pennsylvania,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0
    Rhode Island,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Vermont,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

  Midwest,129,0,0,0,0,1,0,0,0,1,0,0,0,1,5,1,1,4,3,11,9,10,5,12,5,10,9,7,7,14,6,5,2
    Illinois,12,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,5,1,2,1,1,0,0,0,0,0,0,0,0,0
    Indiana,19,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,2,0,2,0,5,1,2,0
    Iowa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Kansas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Michigan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Minnesota,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Missouri,66,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,1,4,0,6,6,6,3,9,5,7,6,2,0,5,0,0,0
    Nebraska,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
    North Dakota,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    Ohio,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,3,7,4,5,2,2
    South Dakota,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
    Wisconsin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

  South,933,0,0,1,0,0,2,5,21,16,18,24,10,13,17,13,26,30,26,41,29,60,55,74,76,50,61,57,50,43,44,36,35
    Alabama,38,0,0,0,0,0,0,1,0,0,1,1,0,4,1,0,2,0,0,2,1,3,1,2,4,0,2,3,2,4,1,3,0
    Arkansas,27,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,5,2,1,4,1,4,2,1,0,1,1,1,0,0,0
    Delaware,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,3,0,0,2,1,2,0,0,0,1,0,0,0
    Dist. of Col.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
