Country	Region	Area_km2	Population	GDP_dollar	GDP_per_capita	Capital	Latitude	Longitude	Drinking_total	Life_Expectancy_Male	Life_Expectancy_Female	Density	Country_2	Gini_coeff	prop10	prop20	year_gini
Afghanistan	AS	647500	29928987	21500000000	800	Kabul	34.5167	69.2	13	45.8	46.3	46.2					
Albania	EU	28748	3563112	17460000000	4900	Tirana	41.55	20.3667	97	70.9	76.7	123.9	Albania	28.2	5.9	4.1	2002
Algeria	AF	2381740	32531853	2.12E+11	6600	Algiers	36.7833	2.05	89	69.7	72.2	13.7	Algeria	35.3	9.6	6.1	1995
Andorra	EU	468	70549	1900000000	26800	Andorra_la_Vella	42.5	1.5167	100			150.7					
Angola	AF	1246700	11827315	23170000000	2100	Luanda	-8.8	13.2333	38	39.2	42.2	9.5					
Antigua_and_Barbuda	CA	443	68722	750000000	11000	Saint_Johns	17.1167	-61.85	91			155.1					
Argentina	SA	2766890	39537943	4.84E+11	12400	Buenos_Aires	-34.6	-58.45	88	70.6	78.1	14.3	Argentina	52.2	39.1	18.1	2001
Armenia	AS	29800	2982904	13650000000	4600	Yerevan	40.1667	44.5167		67.9	74.6	100.1	Armenia	37.9	11.5	6.8	1998
Australia	AU	7686850	20090437	6.12E+11	30700	Canberra	-35.2833	149.1333	100	77.6	82.8	2.6	Australia	35.2	12.5	7	1994
Austria	EU	83870	8184691	2.56E+11	31300	Vienna	48.2	16.3667	100	75.9	81.7	97.6	Austria	30	7.6	4.7	1997
Azerbaijan	AS	86600	7911974	30010000000	3800	Baku	40.3833	49.85	78	63.2	70.5	91.4	Azerbaijan	36.5	9.7	6	2001
Bahamas	CA	13940	301790	5295000000	17700	Nassau	24.0667	-77.3333	97	66.2	72.7	21.6					
Bahrain	ME	665	688345	13010000000	19200	Manama	26.2167	50.5833		72.9	75.8	1035.1					
Bangladesh	AS	144000	144319628	2.76E+11	2000	Dhaka	23.7167	90.4167	97	61.8	63.4	1002.2	Bangladesh	31.8	6.8	4.6	2000
Barbados	CA	431	278870	4569000000	16400	Bridgetown	13.1167	-59.6167	100	71.1	78.3	647					
Belarus	EU	207600	10300483	70500000000	6800	Minsk	53.9	27.5667	100	62.4	74	49.6	Belarus	30.4	6.9	4.6	2000
Belgium	EU	30528	10364388	3.16E+11	30600	Brussels	50.8333	4.3333	100	75.7	81.9	339.5	Belgium	25	7.8	4.5	1996
Belize	CA	22966	281084	1778000000	6500	Belmopan	17.25	-88.7667	92	69.5	74.5	12.2					
Benin	AF	112620	7649360	8338000000	1200	Porto_Novo	6.4833	2.6167	63	53	54.5	67.9					
Bhutan	AS	47000	2232291	2900000000	1400	Thimphu	28.4667	89.5833	62	61.5	63.9	47.5					
Bolivia	SA	1098580	8857870	22330000000	2600	La_Paz	-16.5	-68.15	83	61.8	66	8.1	Bolivia	44.7	24.6	12.3	1999
Bosnia_and_Herzegovina	EU	51129	4430494	26210000000	6500	Sarajevo	43.8667	18.4167		71.3	76.7	86.7	Bosnia and Herzegovina	26.2	5.4	3.8	2001
Botswana	AF	600370	1640115	15050000000	9200	Gaborone	-24.75	25.9167	95	36	37.1	2.7	Botswana	63	77.6	31.5	1993
Brazil	SA	8511965	186112794	1.49E+12	8100	Brasilia	-15.7833	-47.9167	87	66.4	74.4	21.9	Brazil	59.3	68	26.4	2001
Brunei	AS	5770	372361	6842000000	23600	Bandar_Seri_Begawan	4.75	114.9167	81	74.2	78.9	64.5					
Bulgaria	EU	110910	7450349	61630000000	8200	Sofia	42.7	23.3333	100	68.8	75.6	67.2	Bulgaria	31.9	9.9	5.8	2001
Burkina_Faso	AF	274200	13491736	15740000000	1200	Ouagadougou	12.3667	-1.5167	42	46.7	48.1	49.2	Burkina Faso	48.2	26.2	13.6	1998
Burma	AS	678500	46996558	74300000000	1700	Rangoon	16.7833	96.1667	75			69.3					
Burundi	AF	27830	7795426	4001000000	600	Bujumbura	-3.3833	29.3667	78	42.5	44.4	280.1	Burundi	33.3	19.3	9.5	1998
Cambodia	AF	181040	13636398	26990000000	2000	Phnom_Penh	11.55	104.9167	30	52.1	59.6	75.3	Cambodia	40.4	11.6	6.9	1997
Cameroon	AF	475440	16988132	30170000000	1900	Yaounde	3.8667	11.5167	58	45.1	46.5	35.7	Cameroon	44.6	15.7	9.1	2001
Canada	NA	9984670	32805041	1.02E+12	31500	Ottawa	45.4167	-75.6667	100	77.3	82.4	3.3	Canada	33.1	10.1	5.8	1998
Cape_Verde	AF	4033	418224	600000000	1400	Praia	14.9167	-23.5167	74	66.8	73	103.7					
Central_African_Republic	AF	622984	4237703	4248000000	1100	Bangui	4.3667	18.5833	70	38.5	40.3	6.8	Central African Republic	61.3	69.2	32.7	1993
Chad	AF	1284000	9657069	15660000000	1600	NDjamena	12.1167	15.05	27	42.5	44.8	7.5					
Chile	SA	756950	15980912	1.69E+11	10700	Santiago	-33.4333	-70.6667	93	74.8	80.8	21.1	Chile	57.1	40.6	18.7	2000
China	AS	9596960	1306313812	7.26E+12	5600	Beijing	39.9333	116.4	75	69.8	73.3	136.1	China	44.7	18.4	10.7	2001
Colombia	SA	1138910	42954279	2.81E+11	6600	Bogota	4.6	-74.0833	91	69.2	75.3	37.7	Colombia	57.6	57.8	22.9	1999
Comoros	AF	2170	671247	441000000	700	Moroni	-11.6833	43.2667	96	60.9	65.1	309.3					
Congo_Democratic_Republic	AF	2345410	60764490	42740000000	700	Kinshasa__	-4.4	15.4	45	42.1	44.1	25.9					
Congo_Republic	AF	342000	3602269	2324000000	800	Brazzaville	-4.2333	15.2333	51	50.6	53.1	10.5					
Costa_Rica	CA	51100	4016173	37970000000	9600	San_Jose	9.9333	-84.0833	95	75.8	80.6	78.6	Costa Rica	46.5	25.1	12.3	2000
Cote_d_Ivoire	AF	322460	17298040	24780000000	1500	Abidjan__	5.3167	-4.0333	81	45.2	46.8	53.6	Côte d’Ivoire	44.6	16.6	9.7	2002
Croatia	EU	56542	4495904	50330000000	11200	Zagreb	46.8	16		71.3	78.4	79.5	Croatia	29	7.3	4.8	2001
Cuba	CA	110860	11346670	33920000000	3000	Havana	23.1333	-82.3667	91	75.3	79.1	102.4					
Cyprus	EU	9250	780133	15710000000	20300	Nicosia	35.1333	33.4667	100	76	81	84.3					
Czech_Republic	EU	78866	10241138	1.72E+11	16800	Prague	40.9167	21		72.2	78.7	129.9	Czech Republic	25.4	5.2	3.5	1996
