Country	Region	Area_km2	Population	GDP_dollar	GDP_per_capita	Capital	Latitude	Longitude	Latitude_deg	Longitude_deg	Sanitation_total	Sanitation_urban	Sanitation_rural	Drinking_total	Drinking_urban	Drinking_rural	Life_Expectancy_Male	Life_Expectancy_Female	School_Total	School_Male	School_Female	Housing_total	Housing_urban	Housing_rural	Unemployment_both	Unemployment_male	Unemployment_female	Marriage_male	Marriage_female	Contraceptives	Fertility	Youth_fertility	HIV_AIDS	HIV_rate_women	Illiteracy_male	Illiteracy_female	Employees_male	Employees_female	Employers_male	Employers_female	Own_account_male	Own_account_female	Family_worker_male	Family_worker_female	Density
Afghanistan	AS	647500	29928987	21500000000	800	Kabul	34.5167	69.2	N 34 deg 31	E 69 deg 12	12	25	8	13	19	11	45.8	46.3												5	7.5	132													46.2
Albania	EU	28748	3563112	17460000000	4900	Tirana	41.55	20.3667	N 41 deg 33	E 19 deg 82	91	99	85	97	99	95	70.9	76.7	11	11	12				15.2	13.2	18.3	27	23	75	2.3	16			0.6	0.5									123.9
Algeria	AF	2381740	32531853	2.12E+11	6600	Algiers	36.7833	2.05	N 36 deg 47	E 2 deg 03	92	99	81	89	94	82	69.7	72.2	11						27.3	26.6	31.4		26	64	2.5	9	9	16	6	14.4									13.7
Andorra	EU	468	70549	1900000000	26800	Andorra_la_Vella	42.5	1.5167	N 42 deg 30	E 1 deg 31	100	100	100	100	100	100																													150.7
Angola	AF	1246700	11827315	23170000000	2100	Luanda	-8.8	13.2333	S 8 deg 48	E 13 deg 14	44	70	30	38	34	40	39.2	42.2												6	6.8	143	240	59	17.3	37.4									9.5
Antigua_and_Barbuda	CA	443	68722	750000000	11000	Saint_Johns	17.1167	-61.85	N 17 deg 7	W 61 deg 51	95	98	94	91	95	89														53															155.1
Argentina	SA	2766890	39537943	4.84E+11	12400	Buenos_Aires	-34.6	-58.45	S 34 deg 36	W 58 deg 27							70.6	78.1	16	15	17				15.6	16.3	14.7	26	23		2.4	61	130	20	1.3	0.9	66	79	5	2	27	18	1	2	14.3
Armenia	AS	29800	2982904	13650000000	4600	Yerevan	40.1667	44.5167	N 40 deg 10	E 44 deg 31							67.9	74.6	11	10	11				10.1	5.9	14.2		23	61	1.3	31	3	36	0.2	0.1	76	87	3	0	19	12	1	1	100.1
Australia	AU	7686850	20090437	6.12E+11	30700	Canberra	-35.2833	149.1333	S 35 deg 17	E 149 deg 08	100	100	100	100	100	100	77.6	82.8	20	19	20				6.3	6.5	6.1	31	29	76	1.7	16	14	7			84	90	4	2	12	7	0	1	2.6
Austria	EU	83870	8184691	2.56E+11	31300	Vienna	48.2	16.3667	N 48 deg 12	E 16 deg 22	100	100	100	100	100	100	75.9	81.7	15	14	15	0.7	0.7	0.7	4.3	4.3	4.2	29	26	47	1.4	14	10	22			86	89	7	4	5	5	1	3	97.6
Azerbaijan	AS	86600	7911974	30010000000	3800	Baku	40.3833	49.85	N 40 deg 23	E 49 deg 51	81	90	70	78	93	58	63.2	70.5	10	11	10	2.1	1.9	2.3	1.4	1.3	1.6	27	24	55	1.9	32	1		0.1	0.1									91.4
Bahamas	CA	13940	301790	5295000000	17700	Nassau	24.0667	-77.3333	N 24 deg 4	W 77 deg 20	100	100	100	97	98	86	66.2	72.7				1.3	1.3	1.1	10.8	10.8	10	29	27	62	2.3	61	6	48			83	88							21.6
Bahrain	ME	665	688345	13010000000	19200	Manama	26.2167	50.5833	N 26 deg 13	E 50 deg 35							72.9	75.8	13	12	13							28	26	62	2.5	18	1		0.8	0.7									1035.1
Bangladesh	AS	144000	144319628	2.76E+11	2000	Dhaka	23.7167	90.4167	N 23 deg 43	E 90 deg 25	48	71	41	97	99	97	61.8	63.4	8	8	8				3.3	3.2	3.3		19	54	3.2	132			42.2	58.9	15	8	0	0			10	73	1002.2
Barbados	CA	431	278870	4569000000	16400	Bridgetown	13.1167	-59.6167	N 13 deg 7	W 59 deg 37	100	100	100	100	100	100	71.1	78.3	14	14	15				11	9.6	12.6	34	32	55	1.5	43	3	32	0.2	0.2	80	91	1	0	18	8			647
Belarus	EU	207600	10300483	70500000000	6800	Minsk	53.9	27.5667	N 53 deg 54	E 27 deg 34				100	100	100	62.4	74	14	14	14				3	2.3	3.5	25	23	50	1.2	28			0.2	0.2	97	99	1	0	2	1	0	0	49.6
